"filename", "language", "HTML", "JavaScript", "JSON", "NASTRAN", "TypeScript", "comment", "blank", "total"
"f:\PhD\JS\BaVis\BaVis_24\assets\000_awbox.bdf", "NASTRAN", 0, 0, 0, -8476, 0, -60, -5, -8541
"f:\PhD\JS\BaVis\BaVis_24\assets\mdata.json", "JSON", 0, 0, -261, 0, 0, 0, 0, -261
"f:\PhD\JS\BaVis\BaVis_24\assets\test.json", "JSON", 0, 0, -69, 0, 0, 0, 0, -69
"f:\PhD\JS\BaVis\BaVis_24\code_examples_non_core\Draw_Quads_with_color_GOOD_7Nov23_GPT_pure.html", "HTML", -86, 0, 0, 0, 0, 0, -16, -102
"f:\PhD\JS\BaVis\BaVis_24\code_examples_non_core\draw_arrow_vectors.html", "HTML", -70, 0, 0, 0, 0, 0, -15, -85
"f:\PhD\JS\BaVis\BaVis_24\code_examples_non_core\draw_curves_with_slider_P5_GOOD.html", "HTML", -75, 0, 0, 0, 0, 0, -28, -103
"f:\PhD\JS\BaVis\BaVis_24\code_examples_non_core\draw_shells_in_a_single_mesh\index.html", "HTML", -66, 0, 0, 0, 0, 0, -22, -88
"f:\PhD\JS\BaVis\BaVis_24\code_examples_non_core\example_show_label.html", "HTML", -99, 0, 0, 0, 0, 0, -73, -172
"f:\PhD\JS\BaVis\BaVis_24\code_examples_non_core\index2.html", "HTML", -86, 0, 0, 0, 0, 0, -16, -102
"f:\PhD\JS\BaVis\BaVis_24\code_examples_non_core\index2_create_mesh_mathematical_function_GOOD.html", "HTML", -128, 0, 0, 0, 0, -3, -38, -169
"f:\PhD\JS\BaVis\BaVis_24\code_examples_non_core\index_gizmo_moves_spotlight_PERFECT_6Nov23_Mod1.html", "HTML", -107, 0, 0, 0, 0, 0, -39, -146
"f:\PhD\JS\BaVis\BaVis_24\code_examples_non_core\json2yaml_yaml2json.html", "HTML", -70, 0, 0, 0, 0, -1, -9, -80
"f:\PhD\JS\BaVis\BaVis_24\code_examples_non_core\lib\js-yaml.js", "JavaScript", 0, -2831, 0, 0, 0, -248, -795, -3874
"f:\PhD\JS\BaVis\BaVis_24\code_examples_non_core\specular_reflections_GOOD.html", "HTML", -110, 0, 0, 0, 0, -3, -33, -146
"f:\PhD\JS\BaVis\BaVis_24\index.html", "HTML", -88, 0, 0, 0, 0, -10, -41, -139
"f:\PhD\JS\BaVis\BaVis_24\lib\babylon.d.ts", "TypeScript", 0, 0, 0, 0, -35225, -75157, -3202, -113584
"f:\PhD\JS\BaVis\BaVis_24\lib\babylon.gridMaterial.min.js", "JavaScript", 0, -1, 0, 0, 0, -1, 0, -2
"f:\PhD\JS\BaVis\BaVis_24\lib\babylon.inspector.bundle.js", "JavaScript", 0, -1, 0, 0, 0, -2, 0, -3
"f:\PhD\JS\BaVis\BaVis_24\lib\babylon.js", "JavaScript", 0, -1, 0, 0, 0, -1, 0, -2
"f:\PhD\JS\BaVis\BaVis_24\lib\babylonjs.loaders.min.js", "JavaScript", 0, -1, 0, 0, 0, -1, 0, -2
"f:\PhD\JS\BaVis\BaVis_24\lib\js-yaml.js", "JavaScript", 0, -2831, 0, 0, 0, -248, -795, -3874
"f:\PhD\JS\BaVis\BaVis_24\lib\math_library.js", "JavaScript", 0, -1, 0, 0, 0, -8, 0, -9
"f:\PhD\JS\BaVis\BaVis_24\lib\math_source_map.js", "JavaScript", 0, -6686, 0, 0, 0, 0, 0, -6686
"f:\PhD\JS\BaVis\BaVis_24\lib\p5.min.js", "JavaScript", 0, -1, 0, 0, 0, -1, 0, -2
"Total", "-", -985, -12354, -330, -8476, -35225, -75744, -5127, -138241
